Name,Address,Postal_Code,City,Phone
BP,"1 Malborska, 30-563 Kraków",30-563,Kraków,+48 12 655 38 78
Trans-Oil - Balicka,"56 Balicka, 30-149 Kraków",30-149,Kraków,+48 12 637 58 00
Circle K Express Kraków Siewna,"28 Siewna, 31-231 Kraków",31-231,Kraków,+48 12 420 01 65
Stacja paliw,"84 Balicka, 30-149 Kraków",30-149,Kraków,+48 12 636 21 69
Orlen Aleja Pokoju,"62 Aleja Pokoju, 31-564 Kraków",31-564,Kraków,Brak telefonu
Shell Aleja Pokoju,"65 Aleja Pokoju, 31-564 Kraków",31-564,Kraków,+48 12 686 40 30
Budostal-8,"51 Myśliwska, 30-718 Kraków",30-718,Kraków,+48 12 652 13 33
Petrokrak Kraków,"155a Aleja 29 Listopada, 31-406 Kraków",31-406,Kraków,Brak telefonu
Coala,"162 Aleja 29 Listopada, 31-236 Kraków",31-236,Kraków,+48 12 415 80 26
Shell Witosa,"20 Wincentego Witosa, 30-612 Kraków",30-612,Kraków,+48 12 265 30 00
Stacja Paliw LPG,"41A Łużycka, 30-658 Kraków",30-658,Kraków,Brak telefonu
ARGE Jana Pawła II,"37 Aleja Jana Pawła II, 31-864 Kraków",31-864,Kraków,+48 12 648 62 96
Piast,"120 Dobrego Pasterza, 31-416 Kraków",31-416,Kraków,Brak telefonu
Circle K Express,"11A Białoruska, Kraków",,Kraków,Brak telefonu
LOTOS Optima,"17 Nowohucka, 31-580 Kraków",31-580,Kraków,Brak telefonu
Auto Moto,"28 Ciepłownicza, 31-574 Kraków",31-574,Kraków,+48 12 646 62 90
Orlen Łużycka,"40 Łużycka, 30-658 Kraków",30-658,Kraków,+48 12 654 38 35
Circle K Wielicka,"183 Wielicka, 30-663 Kraków",30-663,Kraków,+48 12 659 01 70
Stacja Paliw LPG,"Skośna, 30-383 Kraków",30-383,Kraków,Brak telefonu
bp Krakowiak,"39 Aleja Generała Tadeusza Bora-Komorowskiego, Kraków",,Kraków,+48 12 649 66 06
Shell Nowohucka,"67 Aleja Pokoju, Kraków",,Kraków,Brak telefonu
Shell Stojałowskiego,"1 Stanisława Stojałowskiego, 30-611 Kraków",30-611,Kraków,+48 12 650 43 60
Stacja paliw - Zawiła,"Zawiła, 30-390 Kraków",30-390,Kraków,+48 12 262 02 34
Stacja paliw MPO,"13b Nowohucka, 31-580 Kraków",31-580,Kraków,+48 12 656 27 13
ARGE Pasternik,"66 Pasternik, 31-354 Kraków",31-354,Kraków,+48 12 623 04 60
LOTOS Pokoju,"91 Aleja Pokoju, Kraków",,Kraków,Brak telefonu
Circle K Dywizjonu 303,"21A Osiedle Dywizjonu 303, Kraków",,Kraków,+48 12 641 63 01
Stacja Carefour,"Mieczysława Medweckiego, Kraków",,Kraków,Brak telefonu
LOTOS Kombatantów,"20 Osiedle Kombatantów, 31-630 Kraków",31-630,Kraków,Brak telefonu
Orlen Osiedle Strusia,"23 Osiedle Józefa Strusia, 31-807 Kraków",31-807,Kraków,+48 12 648 51 85
Budostal-5,"1 Na Załęczu, 31-587 Kraków",31-587,Kraków,+48 12 643 18 25
Shell Aleja Jana Pawła II,"186 Aleja Jana Pawła II, 31-982 Kraków",31-982,Kraków,Brak telefonu
Stacja Paliw LPG,"Galicyjska, 32-087 Zielonki",32-087,Zielonki,Brak telefonu
Krak Gaz - Rybitwy,"12 Rybitwy, 30-722 Kraków",30-722,Kraków,+48 12 653 45 27
Shell Warszawska,"Warszawska, 32-086 Zielonki",32-086,Zielonki,Brak telefonu
Circle K Jana Pawła II,"200 Aleja Jana Pawła II, 31-982 Kraków",31-982,Kraków,+48 12 642 04 81
Orlen Osiedle Kolorowe,"10a Osiedle Kolorowe, 31-939 Kraków",31-939,Kraków,+48 24 256 04 60
Orlen Skotnicka,"Skotnicka, 30-394 Kraków",30-394,Kraków,Brak telefonu
Orlen Jerzmanowskiego,"39 Erazma Jerzmanowskiego, 30-836 Kraków",30-836,Kraków,+48 24 256 14 27
Orlen Olszanicka,"Olszanicka, 30-241 Kraków",30-241,Kraków,+48 12 636 57 02
Orlen Zakopiańska,"291 Zakopiańska, 30-435 Kraków",30-435,Kraków,+48 24 256 01 32
bp Mirowska,"201 Mirowska, 30-244 Kraków",30-244,Kraków,+48 695 201 600
BP,"201 Mirowska, 30-244 Kraków",30-244,Kraków,+48 695 201 569
Carrefour Ćwiklińskiej,"12 Mieczysławy Ćwiklińskiej, 30-863 Kraków",30-863,Kraków,Brak telefonu
Stacja paliw LPG,"Warszawska, 32-086 Zielonki",32-086,Zielonki,Brak telefonu
ARGE Zakopiańska,"290 Zakopiańska, 30-435 Kraków",30-435,Kraków,+48 12 264 93 15
LUKOIL Zakopiańska,"311 Zakopiańska, 30-435 Kraków",30-435,Kraków,+48 12 334 30 30
Shell Kryspinów,"415 Kryspinów, 32-060 Liszki",32-060,Liszki,Brak telefonu
ARGE Rzebika,"Kocmyrzowska, 31-831 Kraków",31-831,Kraków,+48 12 653 04 27
et-on,"174 Olszanicka, 30-241 Kraków",30-241,Kraków,+48 12 285 50 13
AS24,"174 Olszanicka, 30-241 Kraków",30-241,Kraków,Brak telefonu
Moya Kraków,"26 Kornela Makuszyńskiego, 31-752 Kraków",31-752,Kraków,Brak telefonu
bp Jasnogórska,"74 Częstochowska, Wielka Wieś",Wielka,Wieś,+48 722 226 151
Valdi,"2 Nad Dłubnią, 31-752 Kraków",31-752,Kraków,Brak telefonu
Petro Net - Nad Drwiną,"7 Nad Drwiną, 30-741 Kraków",30-741,Kraków,+48 12 653 17 44
Shell Kryspinów,"415 Kryspinów, 32-060 Liszki",32-060,Liszki,Brak telefonu
Stacja Paliw LPG,"Kornela Makuszyńskiego, 31-752 Kraków",31-752,Kraków,Brak telefonu
Orlen Bulwarowa,"30 a Bulwarowa, Kraków",,Kraków,+48 24 256 09 24
bp Bibice,"13 Na Czekaj, 32-087 Zielonki",32-087,Zielonki,+48 12 418 24 38
Stacja paliw Liszki,"Kryspinów, 32-060 Liszki",32-060,Liszki,Brak telefonu
Stacja Paliw LPG,"Kryspinów, 32-060 Liszki",32-060,Liszki,Brak telefonu
Slovnaft Karola Łowińskiego,"18 Karola Łowińskiego, 31-752 Kraków",31-752,Kraków,Brak telefonu
Stacja Paliw KRAK-TAR,"11 Ujastek Mogilski, 31-752 Kraków",31-752,Kraków,Brak telefonu
bp Solanka,"14B Krakowska, 32-020 Wieliczka",32-020,Wieliczka,+48 12 288 28 08
LOTOS Krakowska,"37 Krakowska, 32-020 Wieliczka",32-020,Wieliczka,Brak telefonu
Stacja paliw - Łowińskiego,"Karola Łowińskiego, 31-752 Kraków",31-752,Kraków,Brak telefonu
bp Skawina,"28a Krakowska, 32-050 Skawina",32-050,Skawina,+48 12 276 33 00
Orlen nr 578,"4 Krakowska, 32-020 Wieliczka",32-020,Wieliczka,+48 12 278 19 36
Budostal-3,"Blokowa, 31-752 Kraków",31-752,Kraków,+48 12 644 46 66
ARTUS,"38 Edwarda Dembowskiego, 32-020 Wieliczka",32-020,Wieliczka,Brak telefonu
Krak Gaz,"5 Gabriela Narutowicza, 32-020 Wieliczka",32-020,Wieliczka,Brak telefonu
Stacja Paliw LPG,"Styczna, Kraków",,Kraków,Brak telefonu
Orlen MOP Aleksandrowice,,,,+48 12 278 71 50
Orlen,"12 Marii Konopnickiej, 32-050 Skawina",32-050,Skawina,+48 12 276 01 70
LOTOS Skawina,"37 Rzeczna, 32-050 Skawina",32-050,Skawina,+48 12 256 32 83
bp Kocmyrzowska,"43 Kocmyrzowska, 31-765 Kraków",31-765,Kraków,+48 12 645 00 00
ARGE Mogilany,"24 Krakowska, 32-031 Mogilany",32-031,Mogilany,+48 12 276 95 55
Stacja paliw LPG,"Nad Strugą, 32-091 Michałowice",32-091,Michałowice,Brak telefonu
Orlen MOP Morawice,,,,+48 24 256 40 02
bp Meksyk - Nadbrzezie,"1a Nadbrzezie, 31-983 Kraków",31-983,Kraków,+48 12 686 62 00
Stacja paliw - Łuczanowicka,"Łuczanowicka, 31-766 Kraków",31-766,Kraków,Brak telefonu
Shell Zabierzów,"151 Śląska, 32-080 Zabierzów",32-080,Zabierzów,+48 12 378 43 62
Gre-Art,"Hallerów, 32-050 Skawina",32-050,Skawina,Brak telefonu
Orlen,"Dobczycka, 32-020 Wieliczka",32-020,Wieliczka,Brak telefonu
Krak Gaz - Igołomska,"Igołomska, 31-983 Kraków",31-983,Kraków,+48 12 653 45 10
Stacja paliw Kocmyrzów,"Dojazdów, 32-010 Kocmyrzów-Luborzyca",32-010,Kocmyrzów-Luborzyca,Brak telefonu
Orlen Świątniki Górne,"133 Krakowska, 32-447 Siepraw",32-447,Siepraw,Brak telefonu
Orlen Głogoczów,"497 Głogoczów, 32-444 Myślenice gmina",32-444,Myślenice gmina,+48 12 270 12 40
Orlen Igołomska,"Igołomska, Kraków",,Kraków,Brak telefonu
bp Głogoczów,"14 Uzdrowiskowa, Mogilany",,Mogilany,+48 727 008 174
Orlen Kraków,"Igołomska, 31-983 Kraków",31-983,Kraków,Brak telefonu
Stacja paliw Hewax,"Zakrzów, 32-003 Niepołomice gmina",32-003,Niepołomice gmina,Brak telefonu
Shell Igołomska,"34k Igołomska, 31-998 Kraków",31-998,Kraków,Brak telefonu
Petro Plus,"Kocmyrzów, 32-010 Kocmyrzów-Luborzyca",32-010,Kocmyrzów-Luborzyca,Brak telefonu
bp Zelczyna,"175 Zelczyna, 32-051 Skawina gmina",32-051,Skawina gmina,+48 12 270 64 76
Stacja paliw - Pysocice,"Pysocice, 31-988 Kraków",31-988,Kraków,Brak telefonu
bp Czułówek,"135 Czułówek, 32-061 Czernichów",32-061,Czernichów,Brak telefonu
BLISKA Czernichów,"425 Czernichów, 32-070 Czernichów",32-070,Czernichów,Brak telefonu
bp Niepołomice,"900 Staniątki, 32-005 Niepołomice gmina",32-005,Niepołomice gmina,Brak telefonu
Orlen,"16 Brzeska, 31-998 Kraków",31-998,Kraków,Brak telefonu
Stacja paliw Skała,"Krakowska, 32-043 Skała",32-043,Skała,Brak telefonu
Petro-Plus,"Pobiednik Wielki, 32-125 Igołomia-Wawrzeńczyce",32-125,Igołomia-Wawrzeńczyce,Brak telefonu
